,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3470400581,1,1,8,-37.8196941,144.9708975,-37.8158343,145.04645,7896.6,2018-07-21,20:31:33,2337.2400000000007,21:10:30,23.74
ID1798694750,0,3,9,-37.8180175,144.9694443,-38.1109156,144.6541725,44086.0,2018-01-11,10:31:37,10617.839999999998,13:28:34,19.72
ID1928278235,0,5,1,-37.8139548,144.92984,-37.8119762,144.9637681,4157.0,2018-01-11,18:30:07,1055.04,18:47:42,9.25
ID1444983790,0,9,5,-38.1109156,144.6541725,-37.8028785,144.929662,44009.7,2018-05-19,09:19:45,10546.979999999994,12:15:31,25.23
ID3595158152,1,4,9,-37.8011642,145.0091232,-38.1109156,144.6541725,48432.0,2018-07-12,16:40:47,11741.279999999999,19:56:28,58.97
ID3794415736,1,3,7,-37.812137,144.9935001,-37.8618349,144.905716,10473.5,2018-04-15,18:18:12,3467.2200000000003,19:15:59,31.19
ID1376932435,0,1,7,-37.8147307,144.9652522,-37.8618349,144.905716,8035.5,2018-03-18,16:22:56,2772.12,17:09:08,16.84
ID3783103391,1,3,8,-37.812231,144.9886793,-37.8158343,145.04645,5347.0,2018-06-13,03:56:43,1612.6800000000003,4:23:35,24.74
ID3658997323,1,6,7,-37.7874325,144.9803767,-37.8618349,144.905716,11633.0,2018-03-17,10:14:05,3663.780000000001,11:15:08,24.51
ID3541973589,1,9,1,-38.1109156,144.6541725,-37.814727,144.9539234,42715.4,2018-06-23,11:01:19,10281.780000000002,13:52:40,51.72
ID3489531758,1,7,5,-37.8618349,144.905716,-37.8099179,144.9360412,10543.0,2018-01-09,17:36:11,3421.7399999999984,18:33:12,26.35
ID1492320119,0,2,3,-37.8254121,144.9530163,-37.8231775,144.9884654,3558.0,2018-07-26,12:23:04,999.7199999999999,12:39:43,10.01
ID1436573028,0,5,2,-37.7990008,144.9274382,-37.8214308,144.9473954,3604.0,2018-03-05,10:32:21,921.4200000000003,10:47:42,4.91
ID1468568465,0,6,5,-37.7874421,144.9804091,-37.8113599,144.9272092,6946.0,2018-03-20,13:13:38,1800.5999999999992,13:43:38,8.08
ID3324421016,1,9,2,-38.1109156,144.6541725,-37.8140043,144.9442924,41912.0,2018-04-22,04:53:06,10045.859999999995,7:40:31,64.14
ID3351604225,1,6,5,-37.773845,144.9836895,-37.806898,144.9269769,8655.0,2018-04-01,01:06:50,1986.8999999999985,1:39:56,32.13
ID5377023515,2,2,5,-37.8136243,144.9410558,-37.8136538,144.9306027,2001.0,2018-02-26,05:37:24,542.52,5:46:26,67.73
ID3491010439,1,3,2,-37.8244377,144.9904315,-37.817115,144.9321309,6056.0,2018-04-13,08:43:29,1441.2000000000003,9:07:30,12.16
ID5207656262,2,3,8,-37.7738026,144.9836466,-37.8158343,145.04645,13562.0,2018-04-18,16:14:32,4213.5599999999995,17:24:45,305.81
ID1369303099,0,1,4,-37.8160876,144.9722284,-37.7983664,145.0014642,4471.0,2018-01-09,02:10:21,1151.94,2:29:32,14.52
ID1821681525,0,5,3,-37.8618349,144.905716,-37.8265787,144.9725487,8464.0,2018-07-28,13:35:33,2859.599999999999,14:23:12,16.58
ID1415353193,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-05-28,04:22:47,4917.479999999999,5:44:44,20.53
ID5230579526,2,2,5,-37.7874421,144.9804091,-37.8098999,144.9358427,6033.0,2018-05-04,07:26:01,1525.3199999999995,7:51:26,113.82
ID3594821625,1,7,2,-37.8158343,145.04645,-37.8182916,144.9257561,11134.0,2018-04-18,12:56:59,3097.7999999999993,13:48:36,23.49
ID3891488352,1,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-07-19,11:04:44,4298.280000000001,12:16:22,23.43
ID1685581360,0,5,9,-37.8061632,144.9347763,-38.1109156,144.6541725,43338.0,2018-03-26,09:14:43,10377.42,12:07:40,19.44
ID3640848229,1,1,6,-37.8094755,144.9756474,-37.8096499,144.9873766,1132.0,2018-04-05,12:40:05,261.42,12:44:26,12.98
ID1449876550,0,5,6,-37.8052525,144.9260628,-37.8134398,144.9740272,4948.0,2018-03-24,20:22:31,1173.7200000000005,20:42:04,12.72
ID5727040050,2,4,7,-37.8093149,145.0136245,-37.8618349,144.905716,12469.0,2018-02-03,08:10:07,3951.420000000002,9:15:58,286.36
ID1218501531,0,4,6,-37.8020804,144.9950531,-37.7874421,144.9804091,3039.0,2018-02-16,07:29:00,754.0200000000001,7:41:34,4.93
ID3959416705,1,1,6,-37.8090663,144.976665,-37.773845,144.9836895,4614.0,2018-03-24,00:42:45,944.76,0:58:29,25.72
ID3951864272,1,6,6,-37.7874325,144.9803767,-37.8148464,145.0029943,5013.0,2018-07-14,19:27:37,1275.4799999999996,19:48:52,21.7
ID3775385486,1,5,4,-37.7964033,144.930983,-37.8010658,145.0049799,8027.0,2018-04-26,14:57:32,2073.6000000000004,15:32:05,20.18
