Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3470400581,1,1,8,-37.8196941,144.9708975,-37.8158343,145.04645,7892.0,2018-07-21,20:31:33,2337.24,21:10:30,23.74
ID1798694750,0,1,9,-37.818017499999996,144.96944430000002,-38.1109156,144.65417250000002,44086.0,2018-01-11,10:31:37,10617.84,13:28:34,19.72
ID1928278235,0,5,1,-37.8139548,144.92983999999998,-37.811976200000004,144.96376809999998,4157.0,2018-01-11,18:30:07,1055.04,18:47:42,9.25
ID1444983790,0,9,5,-38.1109156,144.65417250000002,-37.8028785,144.929662,44010.0,2018-05-19,09:19:45,10546.98,12:15:31,25.23
ID3595158152,1,4,9,-37.8011642,145.00912319999998,-38.1109156,144.65417250000002,48432.0,2018-07-12,16:40:47,11741.28,19:56:28,58.97
ID3794415736,1,3,7,-37.812137,144.9935001,-37.8618349,144.90571599999998,10467.0,2018-04-15,18:18:12,3467.22,19:15:59,31.19
ID1376932435,0,1,7,-37.814730700000005,144.96525219999998,-37.8618349,144.90571599999998,8028.0,2018-03-18,16:22:56,2772.12,17:09:08,16.84
ID3783103391,1,3,8,-37.812231,144.9886793,-37.8158343,145.04645,5347.0,2018-06-13,03:56:43,1612.68,04:23:35,24.74
ID3658997323,1,6,7,-37.7874325,144.9803767,-37.8618349,144.90571599999998,11633.0,2018-03-17,10:14:05,3663.78,11:15:08,24.51
ID3541973589,1,9,1,-38.1109156,144.65417250000002,-37.814727000000005,144.9539234,42711.0,2018-06-23,11:01:19,10281.78,13:52:40,51.72
ID3489531758,1,7,5,-37.8618349,144.90571599999998,-37.8099179,144.93604119999998,10543.0,2018-01-09,17:36:11,3421.74,18:33:12,26.35
ID1492320119,0,2,3,-37.8254121,144.95301630000003,-37.8231775,144.9884654,3558.0,2018-07-26,12:23:04,999.72,12:39:43,10.01
ID1436573028,0,5,2,-37.799000799999995,144.9274382,-37.821430799999995,144.9473954,3604.0,2018-03-05,10:32:21,921.42,10:47:42,4.91
ID1468568465,0,6,5,-37.7874421,144.9804091,-37.8113599,144.9272092,6946.0,2018-03-20,13:13:38,1800.6,13:43:38,8.08
ID3324421016,1,9,2,-38.1109156,144.65417250000002,-37.81400429999999,144.94429240000002,41912.0,2018-04-22,04:53:06,10045.86,07:40:31,64.14
ID3351604225,1,6,5,-37.773845,144.9836895,-37.806898,144.9269769,8655.0,2018-04-01,01:06:50,1986.9,01:39:56,32.13
ID5377023515,2,2,5,-37.813624299999994,144.94105580000002,-37.8136538,144.93060269999998,2001.0,2018-02-26,05:37:24,542.52,05:46:26,67.73
ID3491010439,1,3,2,-37.824437700000004,144.9904315,-37.817115,144.9321309,6056.0,2018-04-13,08:43:29,1441.2,09:07:30,12.16
ID5207656262,2,6,8,-37.7738026,144.98364660000001,-37.8158343,145.04645,13562.0,2018-04-18,16:14:32,4213.56,17:24:45,305.81
ID1369303099,0,1,4,-37.816087599999996,144.9722284,-37.7983664,145.0014642,4471.0,2018-01-09,02:10:21,1151.94,02:29:32,14.52
ID1821681525,0,7,3,-37.8618349,144.90571599999998,-37.8265787,144.9725487,8464.0,2018-07-28,13:35:33,2859.6,14:23:12,16.58
ID1415353193,0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-05-28,04:22:47,4917.48,05:44:44,20.53
ID5230579526,2,6,5,-37.7874421,144.9804091,-37.8098999,144.9358427,6033.0,2018-05-04,07:26:01,1525.32,07:51:26,113.82
ID3594821625,1,8,2,-37.8158343,145.04645,-37.8182916,144.9257561,11134.0,2018-04-18,12:56:59,3097.8,13:48:36,23.49
ID3891488352,1,8,7,-37.807202000000004,145.0266373,-37.8618349,144.90571599999998,13986.0,2018-07-19,11:04:44,4298.28,12:16:22,23.43
ID1685581360,0,5,9,-37.80616320000001,144.9347763,-38.1109156,144.65417250000002,43338.0,2018-03-26,09:14:43,10377.42,12:07:40,19.44
ID3640848229,1,1,3,-37.8094755,144.9756474,-37.809649900000004,144.98737659999998,1132.0,2018-04-05,12:40:05,261.42,12:44:26,12.98
