,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID5682529146,2,1,8,-37.807508899999995,144.962853,-37.8158343,145.04645,7465.0,2018-05-24,09:44:18,2176.74,10:20:34,231.3
1,ID3212336499,1,4,2,-37.810419700000004,145.01047340000002,-37.8173802,144.94889569999998,6397.0,2018-01-03,10:33:33,1498.5600000000004,10:58:31,9.24
2,ID1579717413,0,8,3,-37.8158343,145.04645,-37.8186632,144.996477,5177.0,2018-06-06,02:21:25,1591.2000000000005,2:47:56,16.29
3,ID1565599989,0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-07-12,01:38:34,12681.060000000005,5:09:55,34.2
4,ID5706453903,2,1,3,-37.812279700000005,144.9380957,-37.810542,144.9808894,4256.0,2018-04-05,08:30:52,1066.86,8:48:38,59.665
5,ID3151040171,1,4,7,-37.813857299999995,145.00733490000002,-37.8618349,144.90571599999998,11707.0,2018-01-28,10:27:26,3640.740000000001,11:28:06,22.0
6,ID3927228383,1,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-07-14,03:20:32,2437.38,4:01:09,30.16
7,ID1944907096,0,2,3,-37.8262024,144.9492544,-37.8257843,144.98276140000002,3550.0,2018-06-15,09:58:28,871.68,10:12:59,5.58
8,ID5932601577,2,5,9,-37.8028637,144.92813,-38.1109156,144.65417250000002,44126.0,2018-04-17,14:38:06,10572.36,17:34:18,1075.7
9,ID1192804696,0,2,3,-37.816416,144.94590159999998,-37.811975399999994,144.98588700000002,4087.0,2018-06-23,19:28:02,987.0000000000003,19:44:29,6.81
10,ID1685476425,0,7,4,-37.8618349,144.90571599999998,-37.7995701,145.0108497,12781.0,2018-06-27,14:28:32,4088.6999999999975,15:36:40,15.92
11,ID3368755562,1,4,6,-37.8105845,145.0006459,-37.7907967,144.985865,3429.0,2018-01-06,17:17:58,965.64,17:34:03,8.47
12,ID1479397132,0,4,2,-37.8144495,145.015303,-37.8167212,144.9428384,7975.0,2018-06-08,04:29:58,2026.74,5:03:44,16.42
13,ID3510306642,1,3,7,-37.820842,144.9695038,-37.8618349,144.90571599999998,7758.0,2018-06-25,19:28:29,2724.6,20:13:53,17.73
14,ID5424635863,2,1,4,-37.8057665,144.9550834,-37.8104027,145.01576809999997,5879.0,2018-06-15,07:41:27,1492.6200000000006,8:06:19,81.115
15,ID1505608549,0,2,9,-37.8179481,144.9485035,-38.1109156,144.65417250000002,41904.0,2018-03-20,02:02:36,10062.78,4:50:18,14.7
16,ID1548560051,0,9,1,-38.1109156,144.65417250000002,-37.8002519,144.9634799,44647.0,2018-02-05,05:38:23,10783.800000000003,8:38:06,30.38
17,ID1222790291,0,8,5,-37.8158343,145.04645,-37.815116100000004,144.927561,11824.0,2018-06-20,19:01:59,3279.839999999999,19:56:38,14.41
18,ID1429886447,0,1,8,-37.803923,144.94869419999998,-37.8158343,145.04645,8842.0,2018-06-15,08:16:38,2538.42,8:58:56,7.18
19,ID1953661910,0,1,9,-37.8200618,144.9450101,-38.1109156,144.65417250000002,41548.0,2018-03-22,18:29:10,9968.4,21:15:18,23.88
20,ID1260886479,0,4,9,-37.810832899999994,145.0159988,-38.1109156,144.65417250000002,48826.0,2018-07-20,08:02:10,11814.54,11:19:04,11.355
21,ID3600544468,1,2,9,-37.816042100000004,144.9286688,-38.1109156,144.65417250000002,44203.0,2018-01-28,21:21:36,10625.7,0:18:41,55.61
22,ID3128833861,1,7,4,-37.8618349,144.90571599999998,-37.7995712,144.9903243,11170.0,2018-05-20,23:50:00,3659.219999999999,0:50:59,32.57
23,ID1336550372,0,2,8,-37.8219709,144.95072340000002,-37.8158343,145.04645,8992.0,2018-01-09,23:28:06,2613.420000000001,0:11:39,16.9
24,ID1553956408,0,1,7,-37.8052589,144.96923080000002,-37.8618349,144.90571599999998,9416.0,2018-03-10,22:03:35,3155.88,22:56:10,21.81
25,ID3771890446,1,5,8,-37.8064779,144.9378783,-37.8158343,145.04645,9772.0,2018-01-03,00:41:32,2788.6800000000007,1:28:00,25.12
26,ID5205676995,2,8,6,-37.807202000000004,145.0266373,-37.7738026,144.98364660000001,11470.0,2018-03-22,07:27:11,3458.9400000000005,8:24:49,178.425
27,ID1286368465,0,5,8,-37.809313700000004,144.93399680000002,-37.807202000000004,145.0266373,9012.0,2018-07-18,08:12:01,2289.42,8:50:10,7.22
28,ID3945339382,1,3,7,-37.8204275,144.9910395,-37.8618349,144.90571599999998,9727.0,2018-02-19,02:14:04,3129.96,3:06:13,26.1
29,ID1400927684,0,2,3,-37.819957200000005,144.9401667,-37.826167100000006,144.9851251,4775.0,2018-07-16,19:17:06,1204.4400000000005,19:37:10,10.65
30,ID1835924151,0,3,6,-37.81749620000001,144.9900733,-37.7874421,144.9804091,4198.0,2018-03-11,18:02:46,1056.48,18:20:22,14.35
31,ID3669867875,1,2,8,-37.8093172,144.9340149,-37.8158343,145.04645,10278.0,2018-01-15,02:24:37,2872.44,3:12:29,13.55
32,ID5666911255,2,1,4,-37.8138985,144.96175549999998,-37.815755700000004,145.0126113,5115.0,2018-02-04,12:58:20,1328.5200000000007,13:20:28,161.74
33,ID1926974349,0,3,6,-37.8147169,144.9872762,-37.7874421,144.9804091,3938.0,2018-04-21,07:14:18,1026.66,7:31:24,9.36
34,ID1538331618,0,9,3,-38.1109156,144.65417250000002,-37.820130600000006,144.9672495,43925.0,2018-02-12,14:04:17,10596.359999999997,17:00:53,25.55
35,ID3631469162,1,3,1,-37.819531899999994,144.9848696,-37.7995415,144.9690663,3190.0,2018-03-16,19:51:11,788.6400000000001,20:04:19,12.19
36,ID1291280832,0,4,5,-37.802299299999994,145.01130690000002,-37.8050035,144.9252622,8302.0,2018-05-04,11:26:18,2257.32,12:03:55,7.88
37,ID3465595770,1,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-04-27,06:41:41,12681.060000000005,10:13:02,24.6
38,ID3618588171,1,3,2,-37.8222313,144.97586090000001,-37.8149626,144.9449653,3618.0,2018-01-13,17:20:57,919.1400000000003,17:36:16,17.95
39,ID3601969854,1,6,3,-37.7874421,144.9804091,-37.8243547,144.9845334,4760.0,2018-05-21,05:20:24,1226.6400000000006,5:40:50,19.6
40,ID1224809808,0,5,4,-37.8029823,144.9292533,-37.8011444,145.00368,7258.0,2018-06-11,13:16:26,1888.4399999999994,13:47:54,11.52
41,ID1219460247,0,4,6,-37.801241,144.9967929,-37.7874421,144.9804091,3101.0,2018-05-16,10:41:18,754.74,10:53:52,1.925
42,ID1732392240,0,8,1,-37.807202000000004,145.0266373,-37.79962379999999,144.9450559,7832.0,2018-03-28,18:38:02,2044.3200000000006,19:12:06,11.97
43,ID3676527593,1,4,7,-37.8049857,144.99567919999998,-37.8618349,144.90571599999998,11148.0,2018-03-18,02:56:55,3642.780000000001,3:57:37,31.39
44,ID3980734606,1,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-06-24,20:07:48,12099.660000000005,23:29:27,55.79
45,ID5134671389,2,6,5,-37.7874421,144.9804091,-37.798980900000004,144.9364074,5416.0,2018-06-11,04:45:32,1415.8800000000006,5:09:07,175.31
46,ID3271381164,1,9,1,-38.1109156,144.65417250000002,-37.817749600000006,144.97469719999998,44540.0,2018-02-22,01:50:56,10710.3,4:49:26,26.25
47,ID3832795910,1,5,2,-37.8045967,144.9196376,-37.8241564,144.94936830000003,3841.0,2018-05-14,14:04:10,890.88,14:19:00,13.08
48,ID3416133879,1,9,6,-38.1109156,144.65417250000002,-37.7907967,144.985865,47193.0,2018-01-21,09:39:48,11535.780000000008,12:52:03,23.685
49,ID5519490150,2,8,5,-37.807202000000004,145.0266373,-37.8052448,144.93730530000002,8554.0,2018-03-26,15:02:44,2226.0599999999995,15:39:50,244.48
50,ID5719439724,2,4,6,-37.812397,145.00958980000001,-37.7908183,144.9857929,4311.0,2018-01-08,08:32:23,1080.9,8:50:23,60.685
51,ID3817373543,1,1,8,-37.8187275,144.9681008,-37.807202000000004,145.0266373,6353.0,2018-03-18,22:38:08,1619.8200000000004,23:05:07,25.58
52,ID3142810820,1,6,8,-37.7874325,144.9803767,-37.807202000000004,145.0266373,5793.0,2018-07-27,05:44:10,1493.5200000000007,6:09:03,17.77
