edge node1 node2 weight
e 1 18 1
e 2 8 1
e 2 17 1
e 3 7 1
e 3 18 1
e 4 13 1
e 5 8 1
e 5 10 1
e 5 13 1
e 6 18 1
e 6 19 1
e 7 3 1
e 7 8 1
e 7 9 1
e 8 2 1
e 8 5 1
e 8 7 1
e 9 7 1
e 9 10 1
e 9 11 1
e 10 5 1
e 10 9 1
e 10 12 1
e 11 9 1
e 11 14 1
e 12 10 1
e 12 15 1
e 13 4 1
e 13 5 1
e 13 16 1
e 14 11 1
e 14 15 1
e 15 12 1
e 15 14 1
e 16 13 1
e 17 2 1
e 18 1 1
e 18 3 1
e 18 6 1
e 19 6 1
e 19 20 1
e 19 21 1
e 20 19 1
e 20 22 1
e 21 19 1
e 21 23 1
e 22 20 1
e 22 24 1
e 23 21 1
e 23 24 1
e 24 22 1
e 24 23 1
